hostname,timestamp,number_of_active_tcp_open,cpu_utilization_on_user_mode,sleeping_uninterruptible,number_of_zombie_processes,total_free_memory_megabytes,free_swap_space_megabytes,cpu_utilization_on_interrupt_handling,kernel_malloc,total_memory_megabytes,cpu_waiting_time_percentage,number_of_received_tcp_segments,write_request_throughput,number_of_transmitted_udp_datagrams,cpu_running_time_on_user_mode,filesystem_metadata,number_of_open_processes,number_of_interrupt,number_of_passive_tcp_open,number_of_running_threads,number_of_transmitted_icmp_datagrams,page_cache_megabytes,number_of_received_udp_datagrams,number_of_context_switching,number_of_exit_processes,cpu_load_average_per_5_minutes,cpu_utilization_on_kernel_mode,maximum_vm_space_megabytes,disk_busy_time,clone_system_call,total_swap_space_megabytes,read_request_throughput,cpu_load_average_per_15_minutes,number_of_received_icmp_datagrams,cpu_stolen_time_percentage,cpu_running_time_on_system_mode,current_vm_space_megabytes,number_of_retransmission,cpu_load_average_per_minute,cpu_idle_time_percentage,number_of_transmitted_tcp_segments,attack_flag,attack_step,attack_name
att,1716976224,-1,48,-1,0,289.8,2000.0,1,310.1,7500.0,0,20255,177506,25,0.02,254.4,4,95.706,-1,-1,-1,3400.0,15,367.71500000000003,-1,0.52,8,5700.0,1,-1,2000.0,68768,0.53,-1,-1,0.01,10100.0,-1,0.21,743,17087,0,benign,benign
att,1716976235,-1,48,-1,0,274.0,2000.0,1,310.1,7500.0,0,20257,177590,26,0.02,254.4,4,95.85900000000001,-1,-1,-1,3400.0,15,368.283,-1,0.54,8,5700.0,1,-1,2000.0,68771,0.54,-1,-1,0.01,10300.0,-1,0.33,743,17089,0,benign,benign
att,1716976246,-1,48,-1,0,286.4,2000.0,1,310.1,7500.0,0,20259,177684,27,0.02,254.5,4,96.001,-1,-1,-1,3400.0,15,368.793,-1,0.52,8,5700.0,1,-1,2000.0,68774,0.53,-1,-1,0.01,10300.0,-1,0.28,743,17091,0,benign,benign
att,1716976257,-1,48,-1,0,302.2,2000.0,1,310.2,7500.0,0,20261,177794,28,0.02,254.5,4,96.155,-1,-1,-1,3400.0,15,369.36400000000003,-1,0.49,8,5700.0,1,-1,2000.0,68777,0.52,-1,-1,0.01,10100.0,-1,0.21,743,17093,0,benign,benign
att,1716976268,-1,48,-1,0,292.8,2000.0,1,310.5,7500.0,0,20263,177906,29,0.02,254.5,4,96.313,-1,-1,-1,3400.0,15,369.951,-1,0.48,8,5700.0,1,-1,2000.0,68780,0.51,-1,-1,0.01,10300.0,-1,0.18,743,17095,0,benign,benign
victim,1716976114,-1,50,-1,0,545.2,100.0,5,36.4,925.0,2,16,406,24,48.19,25.8,129,0.0,-1,-1,-1,213.9,28,0.0,-1,0.96,31,562.5,14,-1,100.0,8600,0.47,-1,-1,148.0,747.0,-1,0.9,311,16,0,benign,benign
victim,1716976125,-1,48,-1,0,544.6,100.0,5,36.8,925.0,2,18,420,27,48.18,25.8,129,0.0,-1,-1,-1,213.9,29,0.0,-1,0.92,30,562.5,13,-1,100.0,8604,0.47,-1,-1,148.0,745.5,-1,0.76,315,18,0,benign,benign
victim,1716976136,-1,46,-1,0,544.6,100.0,5,36.9,925.0,1,20,427,29,48.14,25.8,129,0.0,-1,-1,-1,213.9,29,0.0,-1,0.89,29,562.5,13,-1,100.0,8604,0.46,-1,-1,149.0,746.2,-1,0.64,318,20,0,benign,benign
victim,1716976147,-1,45,-1,0,544.6,100.0,5,36.9,925.0,1,22,430,31,48.27,25.8,129,0.0,-1,-1,-1,214.0,29,0.0,-1,0.86,28,562.5,12,-1,100.0,8604,0.46,-1,-1,149.0,746.5,-1,0.54,321,22,0,benign,benign
victim,1716976159,-1,43,-1,0,544.5,100.0,5,36.9,925.0,1,24,436,33,48.23,25.8,121,0.0,-1,-1,-1,214.0,29,0.0,-1,0.83,27,562.5,12,-1,100.0,8604,0.45,-1,-1,149.0,747.2,-1,0.46,324,24,0,benign,benign
