hostname,window_start,window_end,mean_number_of_open_processes,max_total_swap_space_megabytes,max_total_memory_megabytes,max_number_of_zombie_processes,max_cpu_idle_time_percentage,mean_total_free_memory_megabytes,mean_number_of_transmitted_udp_datagrams,mean_sleeping_uninterruptible,min_total_memory_megabytes,max_number_of_exit_processes,min_total_free_memory_megabytes,mean_cpu_utilization_on_user_mode,mean_write_request_throughput,max_cpu_utilization_on_kernel_mode,min_cpu_running_time_on_user_mode,min_number_of_received_udp_datagrams,min_number_of_open_processes,max_number_of_transmitted_icmp_datagrams,mean_read_request_throughput,min_cpu_running_time_on_system_mode,max_kernel_malloc,max_write_request_throughput,min_cpu_utilization_on_kernel_mode,mean_total_memory_megabytes,min_cpu_idle_time_percentage,min_number_of_transmitted_icmp_datagrams,min_read_request_throughput,max_cpu_running_time_on_system_mode,max_number_of_transmitted_tcp_segments,max_number_of_received_udp_datagrams,mean_cpu_running_time_on_user_mode,mean_number_of_received_icmp_datagrams,max_number_of_running_threads,mean_total_swap_space_megabytes,mean_number_of_exit_processes,min_cpu_utilization_on_user_mode,mean_number_of_transmitted_icmp_datagrams,max_number_of_received_tcp_segments,max_number_of_open_processes,mean_number_of_received_tcp_segments,mean_kernel_malloc,max_number_of_transmitted_udp_datagrams,max_cpu_running_time_on_user_mode,min_number_of_transmitted_tcp_segments,max_read_request_throughput,mean_number_of_transmitted_tcp_segments,min_kernel_malloc,mean_number_of_received_udp_datagrams,min_number_of_exit_processes,min_number_of_transmitted_udp_datagrams,min_number_of_received_tcp_segments,max_sleeping_uninterruptible,min_number_of_received_icmp_datagrams,mean_cpu_idle_time_percentage,mean_number_of_running_threads,min_number_of_running_threads,mean_cpu_running_time_on_system_mode,min_sleeping_uninterruptible,min_total_swap_space_megabytes,min_number_of_zombie_processes,max_total_free_memory_megabytes,mean_cpu_utilization_on_kernel_mode,max_cpu_utilization_on_user_mode,mean_number_of_zombie_processes,max_number_of_received_icmp_datagrams,min_write_request_throughput,attack_flag,attack_step,attack_name
att,1716976214.0,1716976224.0,1276.0,1100.0,10175.0,0,3685,5990.600000000001,473.0,-11.0,10175.0,-11,5990.600000000001,407.0,5093.0,253,532.1800000000001,319,1276,-11,94644.0,1617.0,407.0,5093,253,10175.0,3685,-11,94644,1617.0,11396,319,532.1800000000001,-11.0,-11,1100.0,-11.0,407,-11.0,11396,1276,11396.0,407.0,473,532.1800000000001,11396,94644,11396.0,407.0,319.0,-11,473,11396,-11,-11,3685.0,-11.0,-11,1617.0,-11,1100.0,0,5990.600000000001,253.0,407,0.0,-11,5093,0,-,
att,1716976114,1716976124.0,665.0,20000.0,75000.0,0,7420,3688.4999999999995,190.0,-10.0,9250.0,-10,1925.0,495.0,885760.0,310,0.09999999999999999,140,40,-10,386830.0,0.0,3100.0,1767460,80,42125.0,3110,-10,86000,1480.0,170670,280,240.99999999999997,-10.0,-10,10500.0,-10.0,490,-10.0,192330,1290,96245.0,1732.0000000000002,240,481.9,160,687660,85415.0,363.99999999999994,210.0,-10,140,160,-10,-10,5265.0,-10.0,-10,740.0,-10,1000.0,0,5451.999999999999,195.0,500,0.0,-10,4060,0,-,
att,1716976214.0,1716976224.0,1160.0,1000.0,9250.0,0,3350,5446.000000000001,430.0,-10.0,9250.0,-10,5446.000000000001,370.0,4630.0,230,483.8,290,1160,-10,86040.0,1470.0,370.0,4630,230,9250.0,3350,-10,86040,1470.0,10360,290,483.8,-10.0,-10,1000.0,-10.0,370,-10.0,10360,1160,10360.0,370.0,430,483.8,10360,86040,10360.0,370.0,290.0,-10,430,10360,-10,-10,3350.0,-10.0,-10,1470.0,-10,1000.0,0,5446.000000000001,230.0,370,0.0,-10,4630,0,-,
att,1716976114,1716976124.0,547.3636363636364,18000.0,67500.0,0,6678,3175.363636363637,166.90909090909093,-9.0,8325.0,-9,1732.5,445.090909090909,869323.090909091,279,0.09,126,36,-9,372760.36363636365,0.0,2790.0,1590714,72,40602.27272727272,2799,-9,77400,1332.0,153603,252,197.18999999999997,-9.0,-9,10227.272727272726,-9.0,441,-9.0,173097,1161,94482.0,1670.7272727272732,216,433.71,144,618894,83848.90909090909,327.59999999999997,183.27272727272728,-9,126,144,-9,-9,4914.818181818182,-9.0,-9,605.4545454545454,-9,900.0,0,4906.799999999999,166.09090909090907,450,0.0,-9,3654,0,-,
att,1716976214.0,1716976224.0,1044.0,900.0,8325.0,0,3015,4901.400000000001,387.0,-9.0,8325.0,-9,4901.400000000001,333.0,4167.0,207,435.42,261,1044,-9,77436.0,1323.0,333.0,4167,207,8325.0,3015,-9,77436,1323.0,9324,261,435.42,-9.0,-9,900.0,-9.0,333,-9.0,9324,1044,9324.0,333.0,387,435.42,9324,77436,9324.0,333.0,261.0,-9,387,9324,-9,-9,3015.0,-9.0,-9,1323.0,-9,900.0,0,4901.400000000001,207.0,333,0.0,-9,4167,0,-,
att,1716976114,1716976124.0,532.0,16000.0,60000.0,0,5936,2950.7999999999997,152.0,-8.0,7400.0,-8,1540.0,396.0,708608.0,248,0.08,112,32,-8,309464.0,0.0,2480.0,1413968,64,33700.0,2488,-8,68800,1184.0,136536,224,192.79999999999995,-8.0,-8,8400.0,-8.0,392,-8.0,153864,1032,76996.0,1385.6000000000001,192,385.52,128,550128,68332.0,291.2,168.0,-8,112,128,-8,-8,4212.0,-8.0,-8,592.0,-8,800.0,0,4361.599999999999,156.0,400,0.0,-8,3248,0,-,
att,1716976214.0,1716976224.0,928.0,800.0,7400.0,0,2680,4356.8,344.0,-8.0,7400.0,-8,4356.8,296.0,3704.0,184,387.04,232,928,-8,68832.0,1176.0,296.0,3704,184,7400.0,2680,-8,68832,1176.0,8288,232,387.04,-8.0,-8,800.0,-8.0,296,-8.0,8288,928,8288.0,296.0,344,387.04,8288,68832,8288.0,296.0,232.0,-8,344,8288,-8,-8,2680.0,-8.0,-8,1176.0,-8,800.0,0,4356.8,184.0,296,0.0,-8,3704,0,-,
att,1716976114,1716976124.0,431.8461538461538,14000.0,52500.0,0,5194,2486.992307692308,130.30769230769232,-7.0,6475.0,-7,1347.5,346.2307692307692,667508.1538461538,217,0.07,98,28,-7,286979.5384615385,0.0,2170.0,1237222,56,31257.692307692312,2177,-7,60200,1036.0,119469,196,155.72846153846152,-7.0,-7,7861.538461538461,-7.0,343,-7.0,134631,903,72545.30769230769,1286.0615384615382,168,337.33,112,481362,64381.15384615383,254.8,143.2307692307692,-7,98,112,-7,-7,3801.538461538461,-7.0,-7,478.1538461538462,-7,700.0,0,3816.3999999999996,130.30769230769232,350,0.0,-7,2842,0,-,
att,1716976214.0,1716976224.0,812.0,700.0,6475.0,0,2345,3812.2,301.0,-7.0,6475.0,-7,3812.2,259.0,3241.0,161,338.66,203,812,-7,60228.0,1029.0,259.0,3241,161,6475.0,2345,-7,60228,1029.0,7252,203,338.66,-7.0,-7,700.0,-7.0,259,-7.0,7252,812,7252.0,259.0,301,338.66,7252,60228,7252.0,259.0,203.0,-7,301,7252,-7,-7,2345.0,-7.0,-7,1029.0,-7,700.0,0,3812.2,161.0,259,0.0,-7,3241,0,-,
att,1716976114,1716976124.0,399.0,12000.0,45000.0,0,4452,2213.1,114.0,-6.0,5550.0,-6,1155.0,297.0,531456.0,186,0.060000000000000005,84,24,-6,232098.0,0.0,1860.0,1060476,48,25275.0,1866,-6,51600,888.0,102402,168,144.59999999999997,-6.0,-6,6300.0,-6.0,294,-6.0,115398,774,57747.0,1039.2,144,289.14,96,412596,51249.0,218.4,126.0,-6,84,96,-6,-6,3159.0,-6.0,-6,444.0,-6,600.0,0,3271.2,117.0,300,0.0,-6,2436,0,-,
att,1716976214.0,1716976224.0,696.0,600.0,5550.0,0,2010,3267.6,258.0,-6.0,5550.0,-6,3267.6,222.0,2778.0,138,290.28000000000003,174,696,-6,51624.0,882.0,222.0,2778,138,5550.0,2010,-6,51624,882.0,6216,174,290.28000000000003,-6.0,-6,600.0,-6.0,222,-6.0,6216,696,6216.0,222.0,258,290.28000000000003,6216,51624,6216.0,222.0,174.0,-6,258,6216,-6,-6,2010.0,-6.0,-6,882.0,-6,600.0,0,3267.6,138.0,222,0.0,-6,2778,0,-,
att,1716976114,1716976124.0,311.6666666666667,10000.0,37500.0,0,3710,1785.4666666666665,93.33333333333334,-5.0,4625.0,-5,962.5,247.33333333333334,472270.0,155,0.05,70,20,-5,203442.66666666666,0.0,1550.0,883730,40,22158.333333333336,1555,-5,43000,740.0,85335,140,112.46999999999997,-5.0,-5,5566.666666666666,-5.0,245,-5.0,96165,645,51325.333333333336,911.6000000000001,120,240.95,80,343830,45549.333333333336,182.0,102.66666666666667,-5,70,80,-5,-5,2704.3333333333335,-5.0,-5,345.3333333333333,-5,500.0,0,2726.0,93.66666666666667,250,0.0,-5,2030,0,-,
att,1716976214.0,1716976224.0,580.0,500.0,4625.0,0,1675,2723.0,215.0,-5.0,4625.0,-5,2723.0,185.0,2315.0,115,241.9,145,580,-5,43020.0,735.0,185.0,2315,115,4625.0,1675,-5,43020,735.0,5180,145,241.9,-5.0,-5,500.0,-5.0,185,-5.0,5180,580,5180.0,185.0,215,241.9,5180,43020,5180.0,185.0,145.0,-5,215,5180,-5,-5,1675.0,-5.0,-5,735.0,-5,500.0,0,2723.0,115.0,185,0.0,-5,2315,0,-,
att,1716976114,1716976124.0,266.0,8000.0,30000.0,0,2968,1475.3999999999999,76.0,-4.0,3700.0,-4,770.0,198.0,354304.0,124,0.04,56,16,-4,154732.0,0.0,1240.0,706984,32,16850.0,1244,-4,34400,592.0,68268,112,96.39999999999998,-4.0,-4,4200.0,-4.0,196,-4.0,76932,516,38498.0,692.8000000000001,96,192.76,64,275064,34166.0,145.6,84.0,-4,56,64,-4,-4,2106.0,-4.0,-4,296.0,-4,400.0,0,2180.8,78.0,200,0.0,-4,1624,0,-,
att,1716976214.0,1716976224.0,464.0,400.0,3700.0,0,1340,2178.4,172.0,-4.0,3700.0,-4,2178.4,148.0,1852.0,92,193.52,116,464,-4,34416.0,588.0,148.0,1852,92,3700.0,1340,-4,34416,588.0,4144,116,193.52,-4.0,-4,400.0,-4.0,148,-4.0,4144,464,4144.0,148.0,172,193.52,4144,34416,4144.0,148.0,116.0,-4,172,4144,-4,-4,1340.0,-4.0,-4,588.0,-4,400.0,0,2178.4,92.0,148,0.0,-4,1852,0,-,
att,1716976114,1716976124.0,188.47058823529412,6000.0,22500.0,0,2226,1075.4294117647057,56.117647058823536,-3.0,2775.0,-3,577.5,148.41176470588235,281287.4117647059,93,0.03,42,12,-3,121357.76470588235,0.0,930.0,530238,24,13217.64705882353,933,-3,25800,444.0,51201,84,68.04882352941175,-3.0,-3,3317.6470588235297,-3.0,147,-3.0,57699,387,30569.11764705882,543.7411764705882,72,144.57,48,206298,27129.0,109.19999999999999,61.76470588235294,-3,42,48,-3,-3,1617.5294117647059,-3.0,-3,208.94117647058823,-3,300.0,0,1635.6000000000001,56.470588235294116,150,0.0,-3,1218,0,-,
att,1716976214.0,1716976224.0,348.0,300.0,2775.0,0,1005,1633.8000000000002,129.0,-3.0,2775.0,-3,1633.8000000000002,111.0,1389.0,69,145.14000000000001,87,348,-3,25812.0,441.0,111.0,1389,69,2775.0,1005,-3,25812,441.0,3108,87,145.14000000000001,-3.0,-3,300.0,-3.0,111,-3.0,3108,348,3108.0,111.0,129,145.14000000000001,3108,25812,3108.0,111.0,87.0,-3,129,3108,-3,-3,1005.0,-3.0,-3,441.0,-3,300.0,0,1633.8000000000002,69.0,111,0.0,-3,1389,0,-,
att,1716976114,1716976124.0,133.0,4000.0,15000.0,0,1484,737.6999999999999,38.0,-2.0,1850.0,-2,385.0,99.0,177152.0,62,0.02,28,8,-2,77366.0,0.0,620.0,353492,16,8425.0,622,-2,17200,296.0,34134,56,48.19999999999999,-2.0,-2,2100.0,-2.0,98,-2.0,38466,258,19249.0,346.40000000000003,48,96.38,32,137532,17083.0,72.8,42.0,-2,28,32,-2,-2,1053.0,-2.0,-2,148.0,-2,200.0,0,1090.4,39.0,100,0.0,-2,812,0,-,
att,1716976214.0,1716976224.0,232.0,200.0,1850.0,0,670,1089.2,86.0,-2.0,1850.0,-2,1089.2,74.0,926.0,46,96.76,58,232,-2,17208.0,294.0,74.0,926,46,1850.0,670,-2,17208,294.0,2072,58,96.76,-2.0,-2,200.0,-2.0,74,-2.0,2072,232,2072.0,74.0,86,96.76,2072,17208,2072.0,74.0,58.0,-2,86,2072,-2,-2,670.0,-2.0,-2,294.0,-2,200.0,0,1089.2,46.0,74,0.0,-2,926,0,-,
att,1716976114,1716976124.0,63.21052631578947,2000.0,7500.0,0,742,359.56842105263155,18.736842105263158,-1.0,925.0,-1,192.5,49.473684210526315,93216.52631578948,31,0.01,14,4,-1,40266.31578947369,0.0,310.0,176746,8,4385.526315789473,311,-1,8600,148.0,17067,28,22.83210526315789,-1.0,-1,1100.0,-1.0,49,-1.0,19233,129,10130.21052631579,180.4,24,48.19,16,68766,8990.21052631579,36.4,20.63157894736842,-1,14,16,-1,-1,537.8421052631579,-1.0,-1,70.10526315789474,-1,100.0,0,545.2,18.894736842105264,50,0.0,-1,406,0,-,
att,1716976214.0,1716976224.0,116.0,100.0,925.0,0,335,544.6,43.0,-1.0,925.0,-1,544.6,37.0,463.0,23,48.38,29,116,-1,8604.0,147.0,37.0,463,23,925.0,335,-1,8604,147.0,1036,29,48.38,-1.0,-1,100.0,-1.0,37,-1.0,1036,116,1036.0,37.0,43,48.38,1036,8604,1036.0,37.0,29.0,-1,43,1036,-1,-1,335.0,-1.0,-1,147.0,-1,100.0,0,544.6,23.0,37,0.0,-1,463,0,-,
