window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,flow_iat_std,forward_packet_length_max,total_bhlen,flow_protocol,bpkts_per_second,flow_iat_total,forward_iat_max,flow_iat_mean,forward_packet_length_mean,fpkts_per_second,flow_packets_per_second,forward_iat_total,forward_packet_length_std,total_fhlen,forward_iat_min,backward_iat_std,backward_packet_length_mean,backward_iat_total,total_forward_packets,backward_packet_length_std,backward_packet_length_min,flow_ece,forward_packet_length_min,flow_cwr,flow_rst,backward_iat_mean,flow_urg,flow_psh,forward_iat_std,total_length_of_forward_packets,backward_packet_length_max,forward_iat_mean,total_length_of_backward_packets,total_backward_packets,flow_fin,flow_ack,flow_syn,backward_iat_min,flow_iat_min,backward_iat_max,flow_iat_max,attack_flag,attack_step,attack_name
1736941633.560470,1736941643.560470,17,10.201.41.106,2407,239.192.152.143,6771,10.0,890,3105,85,0.0,220.521125,20.047375,9.60,890.0,11.5,11.5,220.521125,0.0,0,0.000000,-5,0,0,115,-5,-5,0,890,0,0,-5,0,0,10.0,20470,-5,9.60,0,0,0,0,0,-5,0.000000,-5,20.047375,0,-,
1736941633.560470,1736941643.560470,17,10.201.41.106,6771,239.192.152.143,6771,10.0,890,6345,85,0.0,461.087015,20.046925,9.80,890.0,23.5,23.5,461.087015,0.0,0,0.000000,-5,0,0,235,-5,-5,0,890,0,0,-5,0,0,10.0,41830,-5,9.80,0,0,0,0,0,-5,0.000000,-5,20.046925,0,-,
1736941634.560470,1736941644.560470,17,10.201.41.2,1985,224.0.0.2,1985,11.25,310,4860,85,0.0,496.193340,27.609695,13.80,310.0,18.0,18.0,496.193340,0.0,0,0.000000,-5,0,0,180,-5,-5,0,310,0,0,-5,0,0,11.25,11160,-5,13.80,0,0,0,0,0,-5,0.000000,-5,27.609695,0,-,
1736941634.560470,1736941644.560470,17,10.201.41.3,1985,224.0.0.2,1985,16.55,310,7965,85,0.0,1430.636085,44.636775,24.25,308.135593220339,29.5,29.5,1430.636085,3.9000000000000004,0,0.000000,-5,0,0,295,-5,-5,0,300,0,0,-5,0,0,16.55,18180,-5,24.25,0,0,0,0,0,-5,0.000000,-5,44.636775,0,-,
1736941634.560470,1736941644.560470,17,10.201.41.31,7500,255.255.255.255,7500,0.0,1160,9585,85,0.0,2.111470,0.036050,0.05,1160.0,35.5,35.5,2.111470,0.0,0,0.000000,-5,0,0,355,-5,-5,0,1160,0,0,-5,0,0,0.0,82360,-5,0.05,0,0,0,0,0,-5,0.000000,-5,0.036050,0,-,
1736941634.560470,1736941644.560470,17,10.201.41.31,7500,10.201.41.255,7500,0.0,1160,1485,85,0.0,0.000000,0.000000,0.00,1160.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1160,0,0,-5,0,0,0.0,12760,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941634.560470,1736941644.560470,17,10.201.41.210,138,10.201.41.255,138,0.0,1215,1485,85,0.0,0.000000,0.000000,0.00,1215.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1215,0,0,-5,0,0,0.0,13365,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941634.560470,1736941644.560470,17,10.201.41.106,2407,239.192.152.143,6771,0.0,890,1485,85,0.0,0.000000,0.000000,0.00,890.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,890,0,0,-5,0,0,0.0,9790,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941634.560470,1736941644.560470,17,10.201.41.106,6771,239.192.152.143,6771,0.0,890,3105,85,0.0,0.003520,0.000320,0.00,890.0,11.5,11.5,0.003520,0.0,0,0.000000,-5,0,0,115,-5,-5,0,890,0,0,-5,0,0,0.0,20470,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000320,0,-,
1736941635.560470,1736941645.560470,17,10.201.41.2,1985,224.0.0.2,1985,15.649999999999999,310,6345,85,0.0,963.313400,42.465460,20.50,310.0,23.5,23.5,963.313400,0.0,0,0.000000,-5,0,0,235,-5,-5,0,310,0,0,-5,0,0,15.649999999999999,14570,-5,20.50,0,0,0,0,0,-5,0.000000,-5,42.465460,0,-,
